tempBuffer (v12cross):
0.02288847 0.005567162 0.02629427 
0.001798221 0.0007259431 0.008576536 
-0.03735194 -0.03322796 0.002704872 
0.003434139 0.009129918 0.001454559 
-0.004635011 -0.02543105 0.004303068 
-0.01385183 -0.02254653 0.02041862 
-0.002873705 0.0171004 0.01739243 
-0.00605603 -0.02833464 0.006133778 
-0.0170557 0.008248288 -0.02030453 
-0.0106273 -0.002022861 0.02281048 
-0.03211794 0.0008506724 0.002770151 
-0.01699296 -0.009307045 0.0003004621 
-0.004562343 0.004041387 0.01378574 
-0.001584792 -0.001595449 0.01028174 
0.009937734 0.005246702 -0.009121437 
0.002580915 0.01133657 -0.007699075 
0.01796507 0.01297435 0.006101485 
0.0208903 0.01366545 0.01725163 
0.02279319 0.0190268 -0.00480408 
-0.01976964 0.01653484 0.02489228 
-0.005970621 0.00325767 -0.002782953 
0.01478671 -0.0179081 -0.00458784 
-0.01258842 -0.006716513 0.007082591 
-0.002340721 0.009303644 0.006931351 
0.009552329 -0.02028804 -0.0007801343 
-0.003528193 -0.01168986 3.778165E-05 
0.0007484586 -0.0155201 -0.005611732 
-0.009044986 0.008964761 0.01080522 
0.02306157 0.01876267 0.03598109 
-0.0009060081 -0.008915008 -0.01188673 
-0.02226864 0.0005999833 0.00267181 
0.00348022 -0.02700291 0.01544106 
-0.006534726 -0.02837505 -0.006192875 
0.01844666 0.005115793 0.02157339 
-0.0009362684 0.006823696 -0.01621565 
0.02772156 -0.009700777 -0.004058409 
-0.006120143 0.007400853 -0.008899128 
0.001910619 0.02356547 0.008498034 
0.01012094 0.005895243 0.02512683 
-0.005576517 -0.005611928 0.01255982 
-0.04478009 -0.01465958 0.0105679 
0.02659219 -0.03647333 0.00597749 
0.002798708 0.01514498 0.002043979 
0.0002520034 0.009421277 -0.002492183 
0.001325629 -0.002240505 0.007924869 
-0.002227996 0.02615711 0.009667218 
-0.01844247 0.01368339 0.003334452 
0.003207444 0.01046954 0.02020505 
0.01101199 0.01323497 0.01269209 
0.001526718 -0.003869296 -0.0009730795 
-0.01705902 0.00281214 -0.0143332 
0.007302057 0.002637681 -0.002688183 
0.006538372 -0.003727451 -0.001714692 
-0.01134606 -0.001203162 -0.006472745 
0.009807619 0.01753395 0.01453365 
-0.01245706 -0.01544055 0.009825869 
-0.007578186 0.009567227 0.003997244 
