HahaScaling (Scaling Vectors):
-2.344982 -2.635908 -0.5199862
-1.034589 -2.662962 0.2358223
-1.689556 -3.387731 -0.5920451
-1.361473 -2.31907 -1.348915
-1.018992 -2.738466 -2.117439
-0.602957 -2.05241 -0.5614101
-0.6706564 -2.659921 -1.19831
-0.5701079 -2.833483 -0.644413
-0.5256448 -1.374825 -0.9968421
-1.507403 -2.552999 0.3091921
-1.056155 -2.66335 -0.9995412
-1.536872 -3.401704 -0.1564376
-1.376424 -3.277942 -1.639484
-1.870366 -3.615057 -1.842705
0.2823783 -2.853229 -1.433521
-0.8320391 -2.409115 -1.364315
-0.9475894 -3.102465 -1.686406
-1.495457 -2.692023 -1.262969
-0.02845482 -2.309052 -1.312895
-1.379188 -3.711809 -1.669869
-1.584938 -3.63398 -1.016994
-1.023756 -1.972219 -1.080152
0.01691096 -3.142483 -1.548297
-1.195943 -2.84503 -0.8479195
-1.751992 -2.804099 -1.141523
-0.8914307 -2.996087 -0.1279897
-1.130078 -3.323227 -0.2962717
-1.678128 -2.356843 -1.42215
-2.640523 -2.44277 -1.420043
-1.543818 -2.640942 -1.523625
-1.017054 -2.261832 -1.048089
-0.7390285 -3.131349 -0.925843
-0.2744169 -2.849388 -0.8242701
-0.2937996 -1.754082 -1.09898
-1.184704 -2.378761 -1.666425
-1.474948 -2.427452 -1.52716
-0.8062938 -2.992614 -0.5480324
-0.6162813 -2.561415 -1.88694
-0.6868942 -2.606537 -0.7766068
-1.268663 -2.076307 -2.187143
-1.489557 -3.168844 -0.5740385
-1.555658 -1.996186 -0.739554
-0.5699595 -1.730919 0.05382965
-0.6968236 -1.074153 -1.40497
-1.198406 -1.411955 -0.9739574
-1.160189 -2.627876 -0.7637014
0.2094458 -2.770936 -2.23139
-0.5810434 -3.773693 -1.084203
-2.40802 -2.701022 -0.1780584
-1.182916 -2.14481 -0.5890964
-1.859193 -3.280227 -1.112824
-0.7806886 -2.046345 -0.4736164
0.1951248 -2.092836 -1.457052
-0.01103709 -2.080476 -0.372836
-0.9388046 -3.047705 -1.539204
-0.9152033 -2.856036 -2.572567
-1.030825 -2.313836 -1.19254
-0.8772776 -3.677721 -2.140381
-1.377216 -2.031035 -0.1940965
0.05303147 -2.157973 -0.3254659
-1.775668 -3.31814 -1.3261
-1.694735 -2.273215 -1.552217
-1.397843 -3.124456 -1.121914
-1.037923 -1.29292 -1.869772
-2.175136 -3.460108 -1.003744
-0.2447631 -1.959869 -1.07641
-0.08509859 -3.161105 -1.775005
-0.2613199 -2.606403 -1.707673
-1.142117 -2.762515 -0.449596
-2.485136 -3.919912 -1.529386
-1.00248 -2.819934 -1.684126
-0.5534365 -2.651657 -2.085652
-0.999758 -2.783145 -1.044462
-1.13577 -3.030439 -1.277361
-1.96859 -1.817907 -1.519975
-0.9137876 -2.16135 -1.9002
0.995155 -1.186037 0.001309914
-1.010999 -3.139558 -1.955401
-0.08793037 -2.110745 -1.657848
-1.081435 -2.471442 -1.205597
-1.166706 -2.344009 -1.29096
0.9860758 -0.5534656 -1.734071
-0.4837359 -1.647812 -0.4573989
-1.51616 -3.362494 -0.7981114
-1.126513 -2.438493 -1.252663
-0.06296933 -1.583458 2.191016
-1.505068 -3.466201 -1.436777
-1.257223 -2.852021 -1.898207
-1.056995 -2.812553 -0.05975496
-1.089608 -2.966142 -0.8215657
-1.635265 -3.03177 -0.8833073
-1.915028 -1.202102 -1.347324
-1.645948 -3.119915 -1.355423
-1.359263 -2.786002 -1.692732
1.270638 -1.87974 -0.3246845
0.6179381 -2.028022 -1.119609
1.515096 -2.326586 -2.411396
0.02785923 -2.393663 -1.813227
-0.9129297 -2.781971 -1.444742
-1.018668 -3.035081 -1.358562
-0.4431621 -2.961174 -1.878628
-0.9675116 -2.072992 -0.8599705
-0.171723 -2.303258 0.1506869
-0.9989324 -2.783736 -0.758294
-0.981354 -2.287773 -1.772822
-0.7800367 -1.909629 0.02900788
-0.1362479 -1.8454 0.1741701
-1.029063 -2.89242 -1.184619
-0.3891158 -3.157882 0.2869264
-0.2342092 -0.9795863 -0.4613839
-2.184786 -1.943027 -0.5046131
-0.7876019 -2.234324 -1.856492
-0.7269956 -2.514765 -1.847139
0.3897696 -1.619035 0.5777245
-0.7409834 -1.47491 -0.4001817
-0.9809632 -3.626391 -1.101079
-1.453752 -3.987867 -2.310389
-1.206692 -2.271587 -1.328335
-2.001011 -1.986209 -0.2755592
-0.9343454 -0.9796759 -1.06404
-0.7870474 -3.07931 -0.6142677
-0.7496918 -1.993804 -1.058269
-2.301745 -1.920877 -0.1878563
-0.2402181 -2.341182 -0.7500933
-1.461423 -2.563445 0.4136059
-1.524893 -2.794754 -0.8800418
-0.2292964 -1.083408 0.1527436
-1.412665 -1.979132 -1.337389
-0.1435574 -0.8670607 -0.7163544
-0.8168388 -2.063779 -1.135955
-0.2291906 -1.193402 -0.7915156
-0.09994451 -1.712792 -1.107276
-0.06718563 -2.090211 -0.3745831
-0.6446918 -2.19808 -2.154641
-1.104954 -2.019596 -0.9321312
-0.4890409 -3.157327 -0.5524682
-0.9042544 -2.595393 -1.3135
-1.256265 -2.440759 -1.702527
-1.307384 -3.110285 -1.46449
-0.5494595 -1.520579 -0.2556606
-1.195288 -0.9791339 -1.506746
-0.2278894 -1.000363 -0.1014687
-0.3922318 -2.049344 -1.684774
-0.7689273 -1.915898 -1.536813
-1.606912 -2.382415 -0.8822197
-0.5979223 -3.037729 -0.7119094
-0.4140563 -2.006803 -0.9347045
0.03729726 -1.918224 -0.4482926
-0.715638 -2.012766 -0.6748679
-0.5253044 -1.819983 -0.8815351
-1.437359 -3.384525 -1.928656
