RBuffer (Rotation Quaternions):
0.7491627 -0.04066259 0.03590876 -0.6601608
0.2512588 0.6255033 0.7196737 0.1663864
-0.05835259 -0.6603943 0.6838687 -0.3046276
0.09117273 0.695471 -0.6259091 0.3409474
-0.1645827 -0.6466258 0.6701682 -0.3250573
-0.125336 -0.612248 0.7227762 -0.2950215
0.6987117 -0.005270982 0.07949151 0.7109538
0.7573476 -0.06282229 0.03306846 0.6491413
0.8326026 0.3282785 -0.2770165 -0.3496682
-0.3792053 -0.5528862 0.7149738 0.1983245
0.5441784 0.4320319 0.3367019 0.6354921
0.2064232 0.6732548 -0.5634946 -0.4319622
0.7295319 -0.5728301 0.09135858 0.3623569
-0.3830688 -0.5509284 0.7149588 0.1963924
-0.3650502 -0.5833737 0.6903862 0.2231147
-0.6245781 0.6724746 -0.3762375 -0.126986
0.7778171 -0.4511241 0.05535329 0.4340778
-0.04792982 0.684007 -0.4491856 -0.5727735
0.0464197 -0.02642231 0.9073371 -0.416997
0.564765 0.318216 0.2938252 0.702457
-0.3681403 -0.04671757 0.7585248 -0.5356585
-0.325269 0.06565156 0.8648535 -0.3767202
-0.2697224 -0.05428374 0.804952 -0.5256948
0.2575044 0.671142 0.664239 0.2050521
-0.1714286 0.1273299 0.4998497 0.8393745
0.1442242 -0.538853 0.6966588 -0.4511133
0.488037 0.6003271 0.4319007 0.463561
-0.4663286 -0.252477 0.8254598 0.1934135
-0.3689739 -0.4514599 0.7987617 0.1483976
0.05189475 0.792747 0.5949395 0.12209
-0.3467608 0.09128698 0.3656587 0.8589047
-0.477567 0.6232321 -0.5744737 -0.2312825
0.03584242 0.6218526 0.5704391 -0.5353634
0.7223957 0.1770643 -0.1291582 -0.6558284
0.5522908 0.5290895 0.4504098 0.4606194
0.02887866 0.7065345 0.1249684 0.6959581
0.6825445 -0.5823263 0.1707945 0.407257
-0.126644 0.6959872 0.06086437 0.7041723
-0.03388967 0.59478 -0.5342337 0.5997353
0.2042692 0.2938647 0.7203105 -0.5941971
-0.5320945 0.4092831 0.5490345 0.4979194
0.6844031 -0.3120924 0.3426425 -0.562838
-0.1984085 0.6961975 0.6533203 0.2216209
0.1026822 0.9497157 -0.2953409 0.01643381
0.01529357 0.602163 -0.5388907 0.5888656
-0.4265242 -0.4715263 0.76706 0.08578371
0.6924108 -0.3972306 0.1975651 0.5689843
0.4497108 0.5205582 0.5881106 0.4253295
0.7154773 0.008608519 -0.2888774 0.6360565
-0.009771838 0.03462231 0.7607589 -0.6480367
-0.3185887 0.773034 0.511205 0.1989702
-0.4763525 -0.4960885 0.5891268 -0.4241627
-0.3477517 0.5430079 0.6902279 -0.3283237
-0.4233166 0.779726 0.4507869 0.09808917
-0.3764121 0.6854857 0.5772648 0.2349225
-0.4205215 0.6840522 -0.5734384 -0.1624888
-0.4495543 -0.3791072 0.8052798 0.07551854
0.1894889 -0.5094373 -0.428115 0.7220007
0.02416992 -0.0006998483 -0.6164512 0.7870217
-0.48873 0.4323808 -0.3478169 0.673211
0.6643916 -0.5174598 -0.3629473 -0.3988589
-0.4352328 0.8268324 -0.3333696 -0.1256394
0.02128176 -0.6765307 0.7356901 0.02476979
0.3015683 0.7227634 0.489941 0.3829194
-0.254105 0.2739368 0.8378574 0.3979751
0.7423023 -0.01244183 -0.2949608 0.6015236
-0.5097358 0.4277821 0.5792928 -0.4707353
-0.4527763 0.5430658 -0.2355149 0.6667877
0.6308547 0.3735729 -0.4714928 0.4900614
0.3013371 -0.5999566 0.739264 -0.05231455
0.7754539 -0.1025159 -0.1378476 -0.6075851
-0.412302 0.3096838 0.6562763 0.5508214
0.2604703 -0.6476561 0.7157618 -0.01953922
-0.2628573 -0.3621568 0.8861938 -0.1200374
0.7785435 -0.1736496 0.4243174 0.4285681
-0.1401377 -0.6238114 0.7398105 -0.2095261
-0.07822195 0.7218515 0.6867021 -0.03538095
-0.35378 0.6296422 0.6210424 0.3044611
-0.3457713 -0.4035896 0.7150514 -0.4541574
-0.1248608 0.7436788 0.60755 -0.2494684
0.729391 -0.1925745 0.3438631 -0.5591618
-0.4621786 0.2695003 -0.2698159 0.8005996
0.294012 0.15129 -0.6168796 0.7142322
0.5833689 0.5627208 0.4984078 -0.3075963
0.4167383 -0.4136243 0.5553783 0.5888963
-0.6269827 0.4537612 -0.04842835 0.6313858
0.6113618 0.5843226 0.2935309 -0.4456945
0.7899041 -0.3676242 0.3111486 -0.3795925
-0.1097365 0.6985283 -0.03134933 0.7064228
-0.1189021 -0.6139809 0.7182524 -0.3049643
-0.280635 0.6893558 0.6084528 0.2753502
0.7002724 -0.1100358 -0.3608098 0.6060749
0.5936736 0.1229835 -0.5326595 0.5905087
0.6809947 -0.04261644 0.04912702 0.7293946
0.6949021 0.08503629 -0.232585 -0.6751177
-0.2217756 0.7035947 -0.6660203 0.1103945
-0.5780716 -0.2174416 0.320325 0.7182924
0.6795216 -0.4937547 0.3693674 0.3975227
0.9667991 -0.234705 -0.09655581 0.02983089
0.4905171 0.8317768 0.03522748 -0.2574866
-0.2126206 0.2643552 0.8072082 0.4830359
-0.2062025 0.6236603 0.5788082 -0.4832282
0.1587133 0.6237035 0.07658716 0.7615368
-0.2660984 0.6458449 0.3407074 -0.6292809
0.370916 0.4773219 0.7808697 0.1575679
0.03461942 0.07950117 -0.2147924 0.9728028
-0.3850551 0.7095683 -0.4176503 0.4169096
0.448398 -0.2491335 0.8304442 -0.2173343
0.2926883 -0.6207026 0.656852 -0.3124216
-0.2812244 0.6564451 0.1610976 0.6812049
-0.09233475 -0.295183 0.7879858 -0.5323715
0.5447163 -0.341231 -0.4376959 0.6287032
-0.1643599 0.6783184 0.3653463 -0.6159481
0.6439603 -0.3792103 0.6067594 -0.2708462
0.01137286 0.07080134 -0.5074713 0.8586795
0.0505383 0.6489579 0.7519281 -0.1044199
0.6474727 -0.1983043 0.4584452 -0.5755715
-0.1020549 0.6981056 0.6946273 -0.1404503
0.5078619 -0.4149326 -0.4025005 0.6386709
0.6561767 -0.2463975 -0.5469742 0.457755
0.6038565 -0.353081 -0.5127205 0.497804
-0.3667762 0.8021141 -0.4278294 -0.1976112
-0.3624187 0.8041273 -0.4031098 -0.2439963
0.4656022 0.1919367 -0.3246169 0.800624
0.08773685 0.6630698 -0.6154392 0.4169834
0.2356005 0.1202753 -0.02694271 0.9640023
-0.02571025 0.9408083 -0.1795495 -0.2863226
0.2858327 0.181131 -0.0002955285 0.9410054
0.2997494 0.1311363 -0.03777141 0.944207
0.2682918 0.6507545 -0.63484 -0.3186164
0.6168805 0.279446 0.3249822 0.6601173
-0.3765157 -0.5158089 0.7465597 0.1866156
-0.07337166 0.9421094 -0.3044841 -0.1197324
0.2929408 0.1837307 -0.1386878 0.9280056
-0.1021242 0.9707243 -0.189214 -0.1070648
-0.06043878 0.976677 -0.1851527 -0.09037451
0.1256019 0.09869886 -0.09793874 0.9822884
0.07174875 0.6772933 -0.02150367 0.7318904
-0.337445 0.6265804 -0.1440327 0.6875917
-0.3516756 0.6611906 0.6480041 0.1387152
