TBuffer (Translation Vectors):
0.09357201 0.3094576 -0.02610025
-0.09404503 0.317229 -0.02692328
0.08224669 0.2888301 -0.004603681
0.08833288 0.2976294 -0.01807023
-0.09119603 0.3353982 -0.02142998
-0.08638822 0.2862653 -0.01158525
0.07624443 0.3126416 -0.0002881149
0.08739095 0.3070003 -0.01855854
-0.01190774 0.2850749 -0.09892305
-0.08927964 0.2894838 -0.01922232
-0.09032206 0.2991107 -0.02267798
-0.08957309 0.2990349 -0.02280104
0.09011414 0.3194863 -0.03124233
-0.002873691 0.326369 0.1172047
0.08279091 0.279193 -0.001003397
-0.08737755 0.3143058 -0.01916329
-0.08658945 0.2835268 -0.01166694
-0.01484266 0.3754327 -0.1154275
0.09411892 0.326045 -0.02711419
0.0541228 0.1994424 0.0143092
-0.08608254 0.3240767 -0.01908186
-0.02811654 0.3348294 -0.1117623
-0.0888564 0.2990294 -0.02204097
-0.09240381 0.3000363 -0.02457574
0.09020503 0.2943321 -0.02026801
-0.01552141 0.1891199 0.04270539
-0.05559202 0.2838135 -0.06641918
-0.07536258 0.3007776 0.01707876
0.08608072 0.3240726 -0.01908814
-0.0871955 0.2945458 -0.01755309
0.08265318 0.3558107 -0.03122054
-0.01425635 0.4346012 0.0561659
-0.0359248 0.2639278 0.0960831
-0.0644101 0.3337954 0.05992314
0.08581436 0.2942433 -0.0140546
-0.08300813 0.2999836 -0.01726429
-0.08658719 0.2899584 -0.02007824
-0.003762229 0.1859927 0.04466911
0.00375328 0.1859923 0.04466901
-0.01760279 0.4496464 -0.02347256
-0.06600284 0.2266376 -0.02174017
-0.09169762 0.3098078 -0.02608395
-0.01431992 0.4398759 0.04623808
-0.007110371 0.4423742 0.0442089
-0.0849399 0.2854221 -0.008963241
-0.07743084 0.36711 0.01693681
-0.007649388 0.4437647 -0.06327188
-0.06638318 0.2480378 0.006164352
-0.009621783 0.2795804 0.1151283
-0.02405883 0.2774067 0.1056688
-0.03646115 0.2685369 0.0967926
-0.004168869 0.1699836 0.03711065
-0.01545118 0.4189513 -0.09527981
-0.02250131 0.2766854 0.1067697
-0.009919312 0.2768801 0.1139532
-0.03371663 0.2593364 0.09634625
-0.02860513 0.4460661 -0.01670885
-0.01125876 0.2578279 0.1094904
-0.002127773 0.2754328 0.1149043
-0.01096313 0.3095267 0.1225044
-0.01103107 0.2614723 0.1116459
-0.01155334 0.2535782 0.1076761
-0.06875598 0.3960216 0.02588416
-0.03772087 0.4418311 -0.01910155
-0.003702786 0.4507785 -0.03837554
-0.02693972 0.4463385 -0.02874088
-0.04114588 0.2290012 -0.06591749
-0.0255658 0.4463378 0.004075082
-0.0184199 0.4473258 0.015646
-0.003702737 0.4518767 -0.03019472
-0.0611619 0.2651701 -0.04226337
-0.07497287 0.305671 0.007172714
-0.01559992 0.4305572 -0.08380266
-0.00270965 0.3417116 0.1033903
-0.06700887 0.2477401 -0.004996176
-0.09167616 0.3184884 -0.02824704
-0.09427439 0.3095554 -0.02785427
-0.07553758 0.3067492 -0.03270336
-0.06615642 0.293051 -0.05346903
0.05566029 0.2127359 0.01518857
-0.07981294 0.3392738 -0.04181061
-0.01500554 0.2779164 0.112244
-0.09367149 0.3188972 -0.03085636
